,,,,,,,,,
pima,0.7890483807,0.8162923699,0.8527456177,0.7944390199,0.7913702515,0.7837448273,0.8108057842,0.816106384,0.8122936718
segment0,0.9991660929,0.9998660851,0.8186983471,0.9401687328,0.9942703551,0.8925619835,0.999617386,0.9406183043,0.9999234772
led7digit-0-2-4-5-6-7-8-9_vs_1,0.9633370744,0.9646216769,0.9683026585,0.9768916155,0.9654396728,0.8411042945,0.9732106339,0.9683026585,0.9670756646
abalone9-18,0.3555447942,0.3433503836,0.8572037511,0.8356777494,0.6523870418,0.7075873828,0.1751918159,0.4861466326,0.8303495311
poker-9_vs_7,0.1319148936,0.3543859649,0.6385964912,0.6315789474,0.5824561404,0.6421052632,0.4912280702,0.3543859649,0.5298245614
kddcup-guess_passwd_vs_satan,1,1,0.9935796646,1,1,1,1,1,1
yeast5,0.9768518519,0.9834104938,0.9871720679,0.9878472222,0.9701003086,0.9331597222,0.9392361111,0.9723186728,0.9888117284
abalone19,0.4040241449,0.4316419851,0.793231512,0.7610603036,0.2804419479,0.7109697786,0.6143168841,0.321758507,0.8724757439
page-blocks0,0.9676290987,0.9544808425,0.9588461911,0.9257809976,0.9252317956,0.779345965,0.9560396072,0.8895336629,0.9671771015
