pima,auc score,0.7801574607,0.8147579858,0.8513042265,0.7959269075,0.824661738,0.8000185986,0.7980192495,0.8168038313,0.8506532757
,f1 score,0.6317503774,0.6587707729,0.7729688102,0.7011256307,0.7417654809,0.7127590709,0.6944839781,0.665411591,0.7711038251
segment0,auc score,0.9973614324385582,0.9985078053259872,0.8322811447811448,0.9883494031221305,0.9960303795531068,0.890017600244873,0.9957912457912459,0.9011899295990206,0.9999426078971534
,f1 score,0.960345587587058,0.9802997676054837,0.4615384615384615,0.7278679807880589,0.7321245805537091,0.676148003118145,0.9435051738010747,0.3297840875480627,0.9785752047412792
led7digit-0-2-4-5-6-7-8-9_vs_1,auc score,0.962401795735129,0.9756646216768916,0.9748466257668711,0.97280163599182,0.9674846625766871,0.679959100204499,0.9752556237218813,0.97280163599182,0.9748466257668711
,f1 score,0.73997113997114,0.8449477351916376,0.7515123313168914,0.7440522875816993,0.7450650725449903,0.41304116583342204,0.8686069809132131,0.8686069809132131,0.8969907407407407
abalone9-18,auc score,0.6405811138014529,0.711849957374254,0.9060102301790282,0.8642369991474851,0.7907075873827792,0.7921994884910486,0.20012787723785166,0.861466325660699,0.8672208013640239
,f1 score,0.4853113983548766,0.4850615114235501,0.6303927340005046,0.51346099491238,0.5323970635173955,0.5251985091557284,0.4850615114235501,0.4850615114235501,0.7104911362975879
poker-9_vs_7,auc score,0.12907801418439716,0.4385964912280702,0.5438596491228069,0.4456140350877193,0.7754385964912281,0.5754385964912281,0.3929824561403509,0.27368421052631575,0.40350877192982454
,f1 score,0.49128919860627174,0.4922279792746114,0.4933333333333333,0.43064633260711693,0.23337679269882658,0.33883058470764615,0.4922279792746114,0.449438202247191,0.578494623655914
kddcup-guess_passwd_vs_satan,auc score,1.0,1.0,0.9938417190775681,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0
,f1 score,1.0,1.0,0.5510835913312693,1.0,1.0,1.0,1.0,0.7117095759644714,1.0
yeast5,auc score,0.9840633903133903,0.9833140432098765,0.9851466049382716,0.9898726851851851,0.9828317901234568,0.884934413580247,0.9784915123456791,0.8946759259259259,0.9887152777777778
,f1 score,0.4925883694412771,0.49230769230769234,0.70514440433213,0.6253983005841742,0.6313099965139315,0.6180160641557492,0.49230769230769234,0.49230769230769234,0.8190679256777338
abalone19,auc score,0.37663878004871326,0.3775126502947867,0.8686226266190056,0.8650016248085048,0.7361775219349148,0.7513578756789379,0.3252866626433313,0.4803862401931201,0.8132398681583957
,f1 score,0.49809581078372417,0.49804628794709954,0.25645621748515385,0.26173066912265247,0.21485480636329016,0.3228079308836628,0.49804628794709954,0.49804628794709954,0.04295452922480462
page-blocks0,auc score,0.9495745729926546,0.9452615170898753,0.9513350455514633,0.9387437810945273,0.9249410415455191,0.7667062415196743,0.9586119726045098,0.8904382309233055,0.9661877301802675
,f1 score,0.8275670995670996,0.8342265941523241,0.818337128375336,0.8028716519666478,0.7975209950037206,0.530755870334235,0.8675478186962151,0.71280003623605,0.8369304314161155
